filename;Ukrainian title;Transliterated title;Name in catalogue;year;collector;place;performer;number_of_voices; performer gender and age;Syllabic structure;Strophes;archive reference;original metadata;audio recording;additional remarks
Vinnytsia_ballads_629_Oj pidu ja v lis po drova;Ой піду я в ліс по дрова;Oj pidu ja v lis po drova;13-БР-06;-;Матіяш Д., Кушка Т.;с. Ободівка Тростянецького р-ну Вінницької обл.;від гурту;2 voices;;;;Розшифр. Єфремова Л. О., № 12 (152).;"Зап. Матіяш Д., Кушка Т. у с. Ободівка Тростянецького р-ну Вінницької обл. від гурту Розшифр. 
Єфремова Л. О., № 12 (152). Вар. зап. у 10.06 2008 р. Кушка Т. Я., Матіяш Д. В. у с. Іванів Калині-
вського р-ну Вінницької обл. від Кисляк Л. М., Висоцької Г. М., Пашкевич Г. Д., Гончарук Н. П., 
Дишкант М. К., Воронюк Г. М. Розшифр. Єфремова Л. О. № 6 (461). Вар. 1 зап. у лютому 2007 р. 
Кушка Т. Я., Матіяш Д. В. у с. Забужжя Немирівського р-ну Вінницької обл. від гурту. Розшифр. 
Єфремова Л. О. № 35 (572). ";;
Vinnytsia_ballads_629v_Oj pidu ja v lis po drova;Ой піду я в ліс по дрова;Oj pidu ja v lis po drova;13-БР-06;2008;Кушка Т. Я., Матіяш Д. В.;с. Іванів Калинівського р-ну Вінницької обл.;Кисляк Л. М., Висоцької Г. М., Пашкевич Г. Д., Гончарук Н. П., Дишкант М. К., Воронюк Г. М.;2 voices;;;;Розшифр. Єфремова Л. О. № 6 (461).;"Зап. Матіяш Д., Кушка Т. у с. Ободівка Тростянецького р-ну Вінницької обл. від гурту Розшифр. 
Єфремова Л. О., № 12 (152). Вар. зап. у 10.06 2008 р. Кушка Т. Я., Матіяш Д. В. у с. Іванів Калині-
вського р-ну Вінницької обл. від Кисляк Л. М., Висоцької Г. М., Пашкевич Г. Д., Гончарук Н. П., 
Дишкант М. К., Воронюк Г. М. Розшифр. Єфремова Л. О. № 6 (461). Вар. 1 зап. у лютому 2007 р. 
Кушка Т. Я., Матіяш Д. В. у с. Забужжя Немирівського р-ну Вінницької обл. від гурту. Розшифр. 
Єфремова Л. О. № 35 (572). ";;
Vinnytsia_ballads_629v1_Oj pidu ja v lis po drova;Ой піду я в ліс по дрова;Oj pidu ja v lis po drova;13-БР-06;2007;Кушка Т. Я., Матіяш Д. В.;с. Забужжя Немирівського р-ну Вінницької обл.;від гурту.;2 voices;;;;Розшифр. Єфремова Л. О. № 35 (572). ;"Зап. Матіяш Д., Кушка Т. у с. Ободівка Тростянецького р-ну Вінницької обл. від гурту Розшифр. 
Єфремова Л. О., № 12 (152). Вар. зап. у 10.06 2008 р. Кушка Т. Я., Матіяш Д. В. у с. Іванів Калині-
вського р-ну Вінницької обл. від Кисляк Л. М., Висоцької Г. М., Пашкевич Г. Д., Гончарук Н. П., 
Дишкант М. К., Воронюк Г. М. Розшифр. Єфремова Л. О. № 6 (461). Вар. 1 зап. у лютому 2007 р. 
Кушка Т. Я., Матіяш Д. В. у с. Забужжя Немирівського р-ну Вінницької обл. від гурту. Розшифр. 
Єфремова Л. О. № 35 (572). ";;
Vinnytsia_ballads_630_Sama shyla, sama prjala;Сама шила, сама пряла;Sama shyla, sama prjala;13-БР-07;1922;Кудрицька А. М.;с. Овечаче Бердичівського пов. на Київщині (нині с. Дружне Калинівського р-ну Вінницької обл.);Федори Юкиш і М. Комаринської.;2 voices;;;;"– ІМФЕ, ф. 6-4, од. зб. 110, 
арк. 80-82 (текст), арк. 156 (мел.).";"Зап. 1922 р. Кудрицька А. М. у с. Овечаче Бердичівського пов. на Київщині (нині с. Дружне Кали-
нівського р-ну Вінницької обл.) від Федори Юкиш і М. Комаринської. – ІМФЕ, ф. 6-4, од. зб. 110, 
арк. 80-82 (текст), арк. 156 (мел.). Вар. зап. 1971 р. Мельник П. Я. у с. Коси Могилів-Подільського 
р-ну Вінницької обл. від Мельник Докії Ів., 1905 р. н. – ІМФЕ, ф. 14-3, од. зб. 907/ІІ, арк. 188.";;
Vinnytsia_ballads_630v_Sama shyla, sama prjala;Сама шила, сама пряла;Sama shyla, sama prjala;13-БР-07;1971;Мельник П. Я.;с. Коси Могилів-Подільського р-ну Вінницької обл.;Мельник Докії Ів., 1905 р. н.;single;;;;– ІМФЕ, ф. 14-3, од. зб. 907/ІІ, арк. 188.;"Зап. 1922 р. Кудрицька А. М. у с. Овечаче Бердичівського пов. на Київщині (нині с. Дружне Кали-
нівського р-ну Вінницької обл.) від Федори Юкиш і М. Комаринської. – ІМФЕ, ф. 6-4, од. зб. 110, 
арк. 80-82 (текст), арк. 156 (мел.). Вар. зап. 1971 р. Мельник П. Я. у с. Коси Могилів-Подільського 
р-ну Вінницької обл. від Мельник Докії Ів., 1905 р. н. – ІМФЕ, ф. 14-3, од. зб. 907/ІІ, арк. 188.";;
Vinnytsia_ballads_631_Ne zhal' meni;Не жаль мені;Ne zhal' meni;13-БР-07;2015;Гарбулінська Т. Є.;с. Лозове Чернівецького р-ну Вінницької обл.;"від анс ""Джерело"", кер. Ф. Соболевська. ";2 voices;;;;З фондів Вінницького ОЦНТ. Розшифр. Єфремова Л. О., № 2 (25).;"Зап. 20 лютого 2015 р. Гарбулінська Т. Є. у с. Лозове Чернівецького р-ну Вінницької обл. від анс 
""Джерело"", кер. Ф. Соболевська. З фондів Вінницького ОЦНТ. Розшифр. Єфремова Л. О., № 2 (25).";;
Vinnytsia_ballads_632_V subotu piznen'ko;В суботу пізненько;V subotu piznen'ko;14-БР-04;-;Кушка Т. Я., Матіяш Д. В.;с. Зятківці Гайсинського р-ну Вінницької обл.;Коваль О. Н., Касьян Я. М., Коваль С. П., Мелицької Г. М., Дубровської М. П., Сокач К. Д.;2 voices;;;;Розшифр. Єфремова Л. О. № 6 (600). ;"Зап. Кушка Т. Я., Матіяш Д. В. у с. Зятківці Гайсинського р-ну Вінницької обл. від Коваль О. Н., 
Касьян Я. М., Коваль С. П., Мелицької Г. М., Дубровської М. П., Сокач К. Д. Розшифр. Єфремова 
Л. О. № 6 (600). ";;
Vinnytsia_ballads_633_Jak poyikhav Ivanjusha;Як поїхав Іванюша;Jak poyikhav Ivanjusha;14-БР-01;2009;Матіяш Д., Кушка Т.;с. Сиваківці  Липовецького р-ну Вінницької обл.;від гурту. ;2 voices;;;;Розшифр. Єфремова Л. О., № 5 (349).;"Зап. 3.05 2009 р. Матіяш Д., Кушка Т. у с. Сиваківці  Липовецького р-ну Вінницької обл. від гурту.  
Розшифр. Єфремова Л. О., № 5 (349).";;
Vinnytsia_ballads_634_Oj za hajkom, za Dunajkom;Ой за гайком, за Дунайком;Oj za hajkom, za Dunajkom;15-БР-05;1922;Кудрицька А. М.;с. Овечаче Бердичівського пов. на Київщині (нині с. Дружне Калинівського р-ну Вінницької обл.);Д. Нагірної.;single;;;;"– ІМФЕ, ф. 6-4, од. зб. 110, арк. 9-10 (текст), арк. 
132 (мел.).";"Зап. 1922 р. Кудрицька А. М. у с. Овечаче Бердичівського пов. на Київщині (нині с. Дружне Кали-
нівського р-ну Вінницької обл.) від Д. Нагірної. – ІМФЕ, ф. 6-4, од. зб. 110, арк. 9-10 (текст), арк. 
132 (мел.). Вар. зап. 2005 р. Білан В. У с. Даньківка Іллінецького р-ну Вінницької обл. від Білан 
Катерини Василівни, 1939 р. н. Нотна транскрипція Мартинюк О., ред Єфремової Л. О.";;
Vinnytsia_ballads_634v_Oj za hajkom, za Dunajkom;Ой за гайком, за Дунайком;Oj za hajkom, za Dunajkom;15-БР-05;2005;Білан В. У;с. Даньківка Іллінецького р-ну Вінницької обл. ;Білан Катерини Василівни, 1939 р. н.;single;;;;Нотна транскрипція Мартинюк О., ред Єфремової Л. О.;"Зап. 1922 р. Кудрицька А. М. у с. Овечаче Бердичівського пов. на Київщині (нині с. Дружне Кали-
нівського р-ну Вінницької обл.) від Д. Нагірної. – ІМФЕ, ф. 6-4, од. зб. 110, арк. 9-10 (текст), арк. 
132 (мел.). Вар. зап. 2005 р. Білан В. У с. Даньківка Іллінецького р-ну Вінницької обл. від Білан 
Катерини Василівни, 1939 р. н. Нотна транскрипція Мартинюк О., ред Єфремової Л. О.";;
Vinnytsia_ballads_635_Poza luzhkom zelenen'kim;Поза лужком зелененькім;Poza luzhkom zelenen'kim;15-БР-05;2007;Матіяш Д., Кушка Т.;с. Переорки Вінницького р-ну Вінницької обл.;Діденко М. Ф., Діденко Н. С., Штербави А. А., Кучер К. Г., Новак Н. П., Проніної Г. ;2 voices;;;;Розшифр. Єфремова Л. О., № 26 (236).;"Зап. 2007 р. Матіяш Д., Кушка Т. у с. Переорки Вінницького р-ну Вінницької обл. від Діденко М. 
Ф., Діденко Н. С., Штербави А. А., Кучер К. Г., Новак Н. П., Проніної Г. Розшифр. Єфремова Л. О., 
№ 26 (236). Вар. зап у лютому 2007 р. вони ж у с. Устя Бершадського р-ну Віницької обл. від Бер-
нацької Олександри Федосіївни, 1920 р. н., Охріменко Надії Григорівни, 1941 р. н., Гребеник Ма-
рії Петрівни, 55 р. Розшифр. Єфремова Л. О. № 8 (388). Вар. 1 зап. 2009 р. вони ж на святі Г. Тан-
цюри від співаків з с. Ободівка Тростянецького р-ну Вінницької обл. Розшифр. Єфремова Л. О., 
№ 2 (259). Вар. 2 зап. у лютому 2007 р. вони ж у с. Забужжя Немирівського р-ну Вінницької обл.
від гурту. Розшифр. Єфремова Л. О. № 30 (567). Вар. 3 зап. 10.05 2009 р. вони ж у с. Білки Ілліне-
цького р-ну Вінницької обл. від фольк. анс. ""Джерело""(кер. Білкун І. С.), № 10. Розшифр. Єфремо-
ва Л. О., № 9.";;
Vinnytsia_ballads_635v_Poza luzhkom zelenen'kim;Поза лужком зелененькім;Poza luzhkom zelenen'kim;15-БР-05;2007;Матіяш Д., Кушка Т.;с. Устя Бершадського р-ну Віницької обл.;Бернацької Олександри Федосіївни, 1920 р. н., Охріменко Надії Григорівни, 1941 р. н., Гребеник Марії Петрівни, 55 р.;2 voices;;;;Розшифр. Єфремова Л. О. № 8 (388). ;"Зап. 2007 р. Матіяш Д., Кушка Т. у с. Переорки Вінницького р-ну Вінницької обл. від Діденко М. 
Ф., Діденко Н. С., Штербави А. А., Кучер К. Г., Новак Н. П., Проніної Г. Розшифр. Єфремова Л. О., 
№ 26 (236). Вар. зап у лютому 2007 р. вони ж у с. Устя Бершадського р-ну Віницької обл. від Бер-
нацької Олександри Федосіївни, 1920 р. н., Охріменко Надії Григорівни, 1941 р. н., Гребеник Ма-
рії Петрівни, 55 р. Розшифр. Єфремова Л. О. № 8 (388). Вар. 1 зап. 2009 р. вони ж на святі Г. Тан-
цюри від співаків з с. Ободівка Тростянецького р-ну Вінницької обл. Розшифр. Єфремова Л. О., 
№ 2 (259). Вар. 2 зап. у лютому 2007 р. вони ж у с. Забужжя Немирівського р-ну Вінницької обл.
від гурту. Розшифр. Єфремова Л. О. № 30 (567). Вар. 3 зап. 10.05 2009 р. вони ж у с. Білки Ілліне-
цького р-ну Вінницької обл. від фольк. анс. ""Джерело""(кер. Білкун І. С.), № 10. Розшифр. Єфремо-
ва Л. О., № 9.";;
Vinnytsia_ballads_635v1_Poza luzhkom zelenen'kim;Поза лужком зелененькім;Poza luzhkom zelenen'kim;15-БР-05;2009;Матіяш Д., Кушка Т.;с. Ободівка Тростянецького р-ну Вінницької обл.;на святі Г. Танцюри від співаків ;2 voices;;;;Розшифр. Єфремова Л. О., № 2 (259).;"Зап. 2007 р. Матіяш Д., Кушка Т. у с. Переорки Вінницького р-ну Вінницької обл. від Діденко М. 
Ф., Діденко Н. С., Штербави А. А., Кучер К. Г., Новак Н. П., Проніної Г. Розшифр. Єфремова Л. О., 
№ 26 (236). Вар. зап у лютому 2007 р. вони ж у с. Устя Бершадського р-ну Віницької обл. від Бер-
нацької Олександри Федосіївни, 1920 р. н., Охріменко Надії Григорівни, 1941 р. н., Гребеник Ма-
рії Петрівни, 55 р. Розшифр. Єфремова Л. О. № 8 (388). Вар. 1 зап. 2009 р. вони ж на святі Г. Тан-
цюри від співаків з с. Ободівка Тростянецького р-ну Вінницької обл. Розшифр. Єфремова Л. О., 
№ 2 (259). Вар. 2 зап. у лютому 2007 р. вони ж у с. Забужжя Немирівського р-ну Вінницької обл.
від гурту. Розшифр. Єфремова Л. О. № 30 (567). Вар. 3 зап. 10.05 2009 р. вони ж у с. Білки Ілліне-
цького р-ну Вінницької обл. від фольк. анс. ""Джерело""(кер. Білкун І. С.), № 10. Розшифр. Єфремо-
ва Л. О., № 9.";;
Vinnytsia_ballads_635v2_Poza luzhkom zelenen'kim;Поза лужком зелененькім;Poza luzhkom zelenen'kim;15-БР-05;2007;Матіяш Д., Кушка Т.;с. Забужжя Немирівського р-ну Вінницької обл.;від гурту. ;2 voices;;;;Розшифр. Єфремова Л. О. № 30 (567).;"Зап. 2007 р. Матіяш Д., Кушка Т. у с. Переорки Вінницького р-ну Вінницької обл. від Діденко М. 
Ф., Діденко Н. С., Штербави А. А., Кучер К. Г., Новак Н. П., Проніної Г. Розшифр. Єфремова Л. О., 
№ 26 (236). Вар. зап у лютому 2007 р. вони ж у с. Устя Бершадського р-ну Віницької обл. від Бер-
нацької Олександри Федосіївни, 1920 р. н., Охріменко Надії Григорівни, 1941 р. н., Гребеник Ма-
рії Петрівни, 55 р. Розшифр. Єфремова Л. О. № 8 (388). Вар. 1 зап. 2009 р. вони ж на святі Г. Тан-
цюри від співаків з с. Ободівка Тростянецького р-ну Вінницької обл. Розшифр. Єфремова Л. О., 
№ 2 (259). Вар. 2 зап. у лютому 2007 р. вони ж у с. Забужжя Немирівського р-ну Вінницької обл.
від гурту. Розшифр. Єфремова Л. О. № 30 (567). Вар. 3 зап. 10.05 2009 р. вони ж у с. Білки Ілліне-
цького р-ну Вінницької обл. від фольк. анс. ""Джерело""(кер. Білкун І. С.), № 10. Розшифр. Єфремо-
ва Л. О., № 9.";;
Vinnytsia_ballads_635v3_Poza luzhkom zelenen'kim;Поза лужком зелененькім;Poza luzhkom zelenen'kim;15-БР-05;2009;Матіяш Д., Кушка Т.;с. Білки Іллінецького р-ну Вінницької обл.;"від фольк. анс. ""Джерело""(кер. Білкун І. С.), № 10.";2 voices;;;;Розшифр. Єфремова Л. О., № 9.;"Зап. 2007 р. Матіяш Д., Кушка Т. у с. Переорки Вінницького р-ну Вінницької обл. від Діденко М. 
Ф., Діденко Н. С., Штербави А. А., Кучер К. Г., Новак Н. П., Проніної Г. Розшифр. Єфремова Л. О., 
№ 26 (236). Вар. зап у лютому 2007 р. вони ж у с. Устя Бершадського р-ну Віницької обл. від Бер-
нацької Олександри Федосіївни, 1920 р. н., Охріменко Надії Григорівни, 1941 р. н., Гребеник Ма-
рії Петрівни, 55 р. Розшифр. Єфремова Л. О. № 8 (388). Вар. 1 зап. 2009 р. вони ж на святі Г. Тан-
цюри від співаків з с. Ободівка Тростянецького р-ну Вінницької обл. Розшифр. Єфремова Л. О., 
№ 2 (259). Вар. 2 зап. у лютому 2007 р. вони ж у с. Забужжя Немирівського р-ну Вінницької обл.
від гурту. Розшифр. Єфремова Л. О. № 30 (567). Вар. 3 зап. 10.05 2009 р. вони ж у с. Білки Ілліне-
цького р-ну Вінницької обл. від фольк. анс. ""Джерело""(кер. Білкун І. С.), № 10. Розшифр. Єфремо-
ва Л. О., № 9.";;
Vinnytsia_ballads_636_Da chorna khmarka nastupaye;Да чорна хмарка наступає;Da chorna khmarka nastupaye;15-БР-06а;1922;Кудрицька А. М.;"с. Овечаче Бердичівського пов. (нині с. Дружне Калинівського р-ну 
Вінницької обл.)";Д. Нагірної.;single;;;;– ІМФЕ, ф. 6-4, од. зб. 110, арк. 30 (текст), арк. 137 (мел.).;"Зап. 1922 р. Кудрицька А. М. у с. Овечаче Бердичівського пов. (нині с. Дружне Калинівського р-ну 
Вінницької обл.) від Д. Нагірної. – ІМФЕ, ф. 6-4, од. зб. 110, арк. 30 (текст), арк. 137 (мел.).";;
Vinnytsia_ballads_637_(j) A vsi hory zelenijut;(й) А всі гори зеленіють;(j) A vsi hory zelenijut;16-БР-02;1936;Гайдай М. П.;с. Головчинці Жмеринського р-ну на Вінниччині (нині с. Кармалюкове Жмеринського р-ну Вінницької обл.);Василини Микитівни Коваль, 30 р.;single;;;;– ІМФЕ, ф. 8-3, од. зб. 181, арк. 62-64, № 41. ;"Зап. 25.ХІІ 1936 р. Гайдай М. П. у с. Головчинці Жмеринського р-ну на Вінниччині (нині с. Ка-
рмалюкове Жмеринського р-ну Вінницької обл.) від Василини Микитівни Коваль, 30 р. – ІМФЕ, 
ф. 8-3, од. зб. 181, арк. 62-64, № 41. ";;
Vinnytsia_ballads_638_Usi hory zelenijut';Усі гори зеленіють;Usi hory zelenijut';16-БР-02;2009;Матіяш Д., Кушка Т.;с. Івашківці Шаргородського р-ну Вінницької обл.;від гурту.;2 voices;;;;Розшифр. Єфремова Л. О., № 1 (101).;"Зап. 11.05 2009 р. Матіяш Д., Кушка Т. у с. Івашківці Шаргородського р-ну Вінницької обл. від гу-
рту. Розшифр. Єфремова Л. О., № 1 (101). Вар. зап. у лютому 2007 р. вони ж у с. Забужжя Неми-
рівського р-ну Вінницької обл. від гурту. № 39 (576). Вар. 1 зап. 3.05 2009 р. вони ж у с. Сиваківці  
Липовецького р-ну Вінницької обл. від гурту. № 9 (353). Вар. 2 зап. вони ж у с. Стіна Томашпіль-
ського р-ну Вінницької обл. Розшифр. № 10 (254). Вар. 3 зап у лютому 2007 р. вони ж у с. Устя 
Бершадського р-ну Вінницької обл. від гурту. Розшифр. Єфремова Л. О. № 16 (396). ";;
Vinnytsia_ballads_638v_Usi hory zelenijut';Усі гори зеленіють;Usi hory zelenijut';16-БР-02;2007;Матіяш Д., Кушка Т.;с. Забужжя Немирівського р-ну Вінницької обл. .;від гурту.;single;;;;№ 39 (576).;"Зап. 11.05 2009 р. Матіяш Д., Кушка Т. у с. Івашківці Шаргородського р-ну Вінницької обл. від гу-
рту. Розшифр. Єфремова Л. О., № 1 (101). Вар. зап. у лютому 2007 р. вони ж у с. Забужжя Неми-
рівського р-ну Вінницької обл. від гурту. № 39 (576). Вар. 1 зап. 3.05 2009 р. вони ж у с. Сиваківці  
Липовецького р-ну Вінницької обл. від гурту. № 9 (353). Вар. 2 зап. вони ж у с. Стіна Томашпіль-
ського р-ну Вінницької обл. Розшифр. № 10 (254). Вар. 3 зап у лютому 2007 р. вони ж у с. Устя 
Бершадського р-ну Вінницької обл. від гурту. Розшифр. Єфремова Л. О. № 16 (396). ";;
Vinnytsia_ballads_638v1_Usi hory zelenijut';Усі гори зеленіють;Usi hory zelenijut';16-БР-02;2009;Матіяш Д., Кушка Т.;с. Сиваківці  Липовецького р-ну Вінницької обл.;від гурту.;2 voices;;;;№ 9 (353).;"Зап. 11.05 2009 р. Матіяш Д., Кушка Т. у с. Івашківці Шаргородського р-ну Вінницької обл. від гу-
рту. Розшифр. Єфремова Л. О., № 1 (101). Вар. зап. у лютому 2007 р. вони ж у с. Забужжя Неми-
рівського р-ну Вінницької обл. від гурту. № 39 (576). Вар. 1 зап. 3.05 2009 р. вони ж у с. Сиваківці  
Липовецького р-ну Вінницької обл. від гурту. № 9 (353). Вар. 2 зап. вони ж у с. Стіна Томашпіль-
ського р-ну Вінницької обл. Розшифр. № 10 (254). Вар. 3 зап у лютому 2007 р. вони ж у с. Устя 
Бершадського р-ну Вінницької обл. від гурту. Розшифр. Єфремова Л. О. № 16 (396). ";;
Vinnytsia_ballads_638v2_Usi hory zelenijut';Усі гори зеленіють;Usi hory zelenijut';16-БР-02;-;Матіяш Д., Кушка Т.;с. Стіна Томашпільського р-ну Вінницької обл. ;-;2 voices;;;;Розшифр. № 10 (254).;"Зап. 11.05 2009 р. Матіяш Д., Кушка Т. у с. Івашківці Шаргородського р-ну Вінницької обл. від гу-
рту. Розшифр. Єфремова Л. О., № 1 (101). Вар. зап. у лютому 2007 р. вони ж у с. Забужжя Неми-
рівського р-ну Вінницької обл. від гурту. № 39 (576). Вар. 1 зап. 3.05 2009 р. вони ж у с. Сиваківці  
Липовецького р-ну Вінницької обл. від гурту. № 9 (353). Вар. 2 зап. вони ж у с. Стіна Томашпіль-
ського р-ну Вінницької обл. Розшифр. № 10 (254). Вар. 3 зап у лютому 2007 р. вони ж у с. Устя 
Бершадського р-ну Вінницької обл. від гурту. Розшифр. Єфремова Л. О. № 16 (396). ";;
Vinnytsia_ballads_638v3_Usi hory zelenijut';Усі гори зеленіють;Usi hory zelenijut';16-БР-02;2007;Матіяш Д., Кушка Т.;с. Устя Бершадського р-ну Вінницької обл.;від гурту.;2 voices;;;;Розшифр. Єфремова Л. О. № 16 (396). ;"Зап. 11.05 2009 р. Матіяш Д., Кушка Т. у с. Івашківці Шаргородського р-ну Вінницької обл. від гу-
рту. Розшифр. Єфремова Л. О., № 1 (101). Вар. зап. у лютому 2007 р. вони ж у с. Забужжя Неми-
рівського р-ну Вінницької обл. від гурту. № 39 (576). Вар. 1 зап. 3.05 2009 р. вони ж у с. Сиваківці  
Липовецького р-ну Вінницької обл. від гурту. № 9 (353). Вар. 2 зап. вони ж у с. Стіна Томашпіль-
ського р-ну Вінницької обл. Розшифр. № 10 (254). Вар. 3 зап у лютому 2007 р. вони ж у с. Устя 
Бершадського р-ну Вінницької обл. від гурту. Розшифр. Єфремова Л. О. № 16 (396). ";;
Vinnytsia_ballads_639_Pid biloju berezoju;Під білою березою;Pid biloju berezoju;16-БР-03;1936;Гайдай М. П.;с. Стодульці Жмеринського р-ну Вінницької обл.;"Параски 
Дмитрівни Мельник, 18 р. та  Одарки Василівни Стахміч,18 р.";2 voices;;;;– ІМФЕ, ф. 8-3, од. зб. 182, арк. 106-107.;"Зап. 29.ХІІ 1936 р. Гайдай М. П. у с. Стодульці Жмеринського р-ну Вінницької обл. від Параски 
Дмитрівни Мельник, 18 р. та  Одарки Василівни Стахміч,18 р. – ІМФЕ, ф. 8-3, од. зб. 182, арк. 
106-107. Вар. зап. 2018 р. Гарбулінська Т. Є. у с. Бджільна Теплицького р-ну Вінницької обл. від 
Жарій І., Ільтєшіної Т. М., Тихої О. Д., Хрущ О. Є., Прокопенко Т. Ф., Ніколішиної А. С., Жарій О. 
В., Щербацької Н. І., Оєвої Д. М. З фондів Вінницького ОЦНТ. Розшифр. Єфремова Л. О., № 109.";;
Vinnytsia_ballads_639v_Pid biloju berezoju;Під білою березою;Pid biloju berezoju;16-БР-03;2018;Гарбулінська Т. Є.;с. Бджільна Теплицького р-ну Вінницької обл. ;Жарій І., Ільтєшіної Т. М., Тихої О. Д., Хрущ О. Є., Прокопенко Т. Ф., Ніколішиної А. С., Жарій О. В., Щербацької Н. І., Оєвої Д. М. ;2 voices;;;;З фондів Вінницького ОЦНТ. Розшифр. Єфремова Л. О., № 109..;"Зап. 29.ХІІ 1936 р. Гайдай М. П. у с. Стодульці Жмеринського р-ну Вінницької обл. від Параски 
Дмитрівни Мельник, 18 р. та  Одарки Василівни Стахміч,18 р. – ІМФЕ, ф. 8-3, од. зб. 182, арк. 
106-107. Вар. зап. 2018 р. Гарбулінська Т. Є. у с. Бджільна Теплицького р-ну Вінницької обл. від 
Жарій І., Ільтєшіної Т. М., Тихої О. Д., Хрущ О. Є., Прокопенко Т. Ф., Ніколішиної А. С., Жарій О. 
В., Щербацької Н. І., Оєвої Д. М. З фондів Вінницького ОЦНТ. Розшифр. Єфремова Л. О., № 109.";;
Vinnytsia_ballads_640_Posadzhu ja vynohradu;Посаджу я винограду;Posadzhu ja vynohradu;16-БР-04;2009;Кушка Т Я., Матіяш Д. В.;с. Білки Іллінецького р-ну Вінницької обл.;"фольк. анс. ""Джерело""(кер. Білкун І. С.), № 23. ";2 voices;;;;Розшифр. Єфремова Л. О., № 21.;"Зап. 10.05 2009 р. Кушка Т Я., Матіяш Д. В. у с. Білки Іллінецького р-ну Вінницької обл. від 
фольк. анс. ""Джерело""(кер. Білкун І. С.), № 23. Розшифр. Єфремова Л. О., № 21. Вар. зап. 1951 р. 
Кувеньова А., Ященко Л. І. у с. Джуринці Ситковецького (нині Немирівського) р-ну Вінницької 
обл. від гурту дівчат. – ІМФЕ, ф. 14-5, од. зб. 243, арк. 49.";;
Vinnytsia_ballads_640v_Posadzhu ja vynohradu;Посаджу я винограду;Posadzhu ja vynohradu;16-БР-04;1951;Кувеньова А., Ященко Л. І.;с. Джуринці Ситковецького (нині Немирівського) р-ну Вінницької обл. ;"від гурту дівчат.  
";2 voices;;;;– ІМФЕ, ф. 14-5, од. зб. 243, арк. 49.;"Зап. 10.05 2009 р. Кушка Т Я., Матіяш Д. В. у с. Білки Іллінецького р-ну Вінницької обл. від 
фольк. анс. ""Джерело""(кер. Білкун І. С.), № 23. Розшифр. Єфремова Л. О., № 21. Вар. зап. 1951 р. 
Кувеньова А., Ященко Л. І. у с. Джуринці Ситковецького (нині Немирівського) р-ну Вінницької 
обл. від гурту дівчат. – ІМФЕ, ф. 14-5, од. зб. 243, арк. 49.";;
Vinnytsia_ballads_641_Teche richechka;Тече річечка;Teche richechka;17-БР-01а;2009;Матіяш Д., Кушка Т.;с. Івашківці Шаргородського р-ну Вінницької обл.;-;single;;;;Розшифр. Єфремова Л. О., № 2 (102).;"Зап. 11.05 2009 р. Матіяш Д., Кушка Т. у с. Івашківці Шаргородського р-ну Вінницької обл. Роз-
шифр. Єфремова Л. О., № 2 (102).";;
Vinnytsia_ballads_642_Oddavala maty dochku;Оддавала мати дочку;Oddavala maty dochku;17-БР-01б;1922;Кудрицька А. М.;с. Овечаче Бердичівського пов. на Київщині (нині с. Дружне Калинівського р-ну Вінницької обл.);Д. Нагірної.;single;;;;– ІМФЕ, ф. 6-4, од. зб. 110, арк. 22-23 (текст), арк. 136 (мел.).;"Зап. 1922 р. Кудрицька А. М. у с. Овечаче Бердичівського пов. на Київщині (нині с. Дружне Кали-
нівського р-ну Вінницької обл.) від Д. Нагірної. – ІМФЕ, ф. 6-4, од. зб. 110, арк. 22-23 (текст), арк. 
136 (мел.). Вар. зап. у січні 2007 р. Тищенко О., Матіяш Д., Кушка Т., Єпіченко М. у с. Бірків Лі-
тинського р-ну Вінницької обл. від Парфенюк Л. М., Чухмайтер І. Н., Калінської Н. П., Нечипо-
рук М. М., Свічколан В. М., Свириденюк Г. С., Савіної Т. Й., Андрушко Є. С., Печериці М. С., 
Войтко М. А., Калінської Г., Нижник О. Розшифр. Єфремова Л. О., № 34 (60).";;
Vinnytsia_ballads_642v_Oddavala maty dochku;Оддавала мати дочку;Oddavala maty dochku;17-БР-01б;2007;Тищенко О., Матіяш Д., Кушка Т., Єпіченко М. ;с. Бірків Літинського р-ну Вінницької обл. ;Парфенюк Л. М., Чухмайтер І. Н., Калінської Н. П., Нечипорук М. М., Свічколан В. М., Свириденюк Г. С., Савіної Т. Й., Андрушко Є. С., Печериці М. С., Войтко М. А., Калінської Г., Нижник О.;2 voices;;;;Розшифр. Єфремова Л. О., № 34 (60).;"Зап. 1922 р. Кудрицька А. М. у с. Овечаче Бердичівського пов. на Київщині (нині с. Дружне Кали-
нівського р-ну Вінницької обл.) від Д. Нагірної. – ІМФЕ, ф. 6-4, од. зб. 110, арк. 22-23 (текст), арк. 
136 (мел.). Вар. зап. у січні 2007 р. Тищенко О., Матіяш Д., Кушка Т., Єпіченко М. у с. Бірків Лі-
тинського р-ну Вінницької обл. від Парфенюк Л. М., Чухмайтер І. Н., Калінської Н. П., Нечипо-
рук М. М., Свічколан В. М., Свириденюк Г. С., Савіної Т. Й., Андрушко Є. С., Печериці М. С., 
Войтко М. А., Калінської Г., Нижник О. Розшифр. Єфремова Л. О., № 34 (60).";;
